ID  N1  N2  N3  N4  N5  N6
22  05  07  02  09  04  01
04  09  03  08  01  10  06
03  02  05  09  04  07  03
02  10  01  06  08  02  05
05  07  09  03  01  10  04
06  01  08  02  05  09  07
24  03  06  01  04  08  10
27  08  02  07  03  09  05
09  04  09  05  01  06  08
10  06  03  08  04  02  07
14  05  01  09  06  03  08
12  09  07  02  05  10  04
30  02  08  03  01  09  06
11  10  04  09  05  02  07
21  07  02  08  01  06  03
16  01  09  05  03  10  04
17  03  06  01  08  02  09
18  08  04  07  02  09  05
19  04  02  09  06  01  08
20  06  09  05  03  10  01
15  05  08  03  01  09  06
01  09  06  01  04  02  07
23  02  04  09  05  08  03
07  10  02  07  03  01  06
25  07  09  05  01  04  02
26  01  05  03  08  02  09
08  03  01  08  04  09  05
28  08  07  02  09  05  01
29  04  03  09  06  01  08
13  06  01  08  04  02  07
